run_id,run_dir,benchmark,mode,method,seed,reference_kind,has_reference,run_type,reportable,collapse_evaluated,accepted_interventions,rejected_interventions,rollback_count,number_of_active_patches,most_frequently_targeted_variable,most_frequently_targeted_patch,collapsed,cavity_profile_reference_source,architecture,model_kind,parameter_count,optimizer_steps,adam_steps,lbfgs_steps,collocation_points_seen,boundary_points_seen,data_points_seen,wall_clock_train_sec,full_field_reference_used,u_rel_l2,v_rel_l2,p_rel_l2_centered,omega_rel_l2,u_rmse,v_rmse,p_rmse_centered,omega_rmse,u_pred_mean,v_pred_mean,p_pred_std_centered,speed_pred_mean,speed_pred_max,omega_pred_abs_mean,omega_pred_abs_max,pde_residual_mean,centerline_pde_residual_mean,centerline_continuity_residual_mean,corner_pde_residual_mean,corner_boundary_error,continuity_residual_mean,momentum_residual_mean,boundary_condition_error,u_boundary_rmse,v_boundary_rmse,boundary_speed_rmse,u_centerline_rmse,v_centerline_rmse,u_centerline_rel_l2,v_centerline_rel_l2,centerline_extrema_error,centerline_profile_score,cavity_benchmark_score,lid_corner_boundary_error,near_wall_residual_proxy,full_field_u_rmse,full_field_v_rmse,full_field_p_rmse_centered,full_field_omega_rmse,unweighted_data_loss,unweighted_pde_loss,unweighted_bc_loss,unweighted_validation_loss,final_total_loss,J_score
kovasznay_local_constrained_vara_seed0_20260521-045355,experiments\logs\kovasznay_local_constrained_vara_seed0_20260521-045355,kovasznay,local_constrained_vara,vara,0,unknown,,unknown,True,True,0,12,12,0,momentum_v_residual,0.0,False,,,,,,,,,,,,False,0.5836337149576408,3.774442730299634,0.8234820081153261,0.9892365315539084,,,,,,,,,,,,0.8184865117073059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.787157616910999
kovasznay_local_constrained_vara_seed0_20260526-043812,experiments\logs\kovasznay_local_constrained_vara_seed0_20260526-043812,kovasznay,local_constrained_vara,vara,0,analytical,True,full,True,True,0,12,12,0,momentum_v_residual,0.0,True,,,,,,,,,,,,False,0.5836337149576508,3.774442730300421,0.8234820081153755,0.9892365315539136,0.7096967693194027,0.3773214198110566,0.2854446622552635,3.9556581915357656,1.254218339920044,-0.2764648199081421,0.2547537088394165,1.307692050933838,1.5730986595153809,0.46755897998809814,1.3111867904663086,0.8184865117073059,,,,,0.4749155044555664,0.5807331204414368,,,,,,,,,,,,,,,,,,16.374751341704656,0.6904769539833069,,17.065228295687962,249.63377380371094,6.787157616911875
kovasznay_local_vara_seed0_20260521-045448,experiments\logs\kovasznay_local_vara_seed0_20260521-045448,kovasznay,local_vara,vara,0,unknown,,unknown,True,True,12,0,0,6,momentum_v_residual,12.0,False,,,,,,,,,,,,False,0.551061696918083,4.51053647610986,1.0055536054147105,1.0062788040632196,,,,,,,,,,,,1.0337388515472412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.834642098100039
lid_driven_cavity_local_constrained_vara_seed0_20260603-202719,experiments\logs\lid_driven_cavity_local_constrained_vara_seed0_20260603-202719,lid_driven_cavity,local_constrained_vara,vara,0,ghia,False,smoke,False,False,1,0,0,1,corner_boundary_error,3.0,False,ghia_1982,"direct_uvp:[16, 16]:tanh",direct_uvp,371.0,2.0,2.0,0.0,64.0,64.0,0.0,2.595109462738037,False,,,,,,,,,0.018081603571772575,-0.009054252877831459,0.1979445070028305,0.5585156679153442,1.001949667930603,1.2813165187835693,1.7390450239181519,1.7538557052612305,1.8015495596611224,1.5562765837979857,1.586378276348114,1.066554069519043,1.4679639339447021,0.8834943175315857,0.8908480405807495,0.8176091909408569,0.49263253808021545,0.9545530676841736,0.5114537603852436,0.6257721383263328,1.1194012378482212,4.690787043996552,1.8192423018693924,1.1372258987115764,7.952630197899237,1.066554069519043,1.679571270942688,,,,,,3.126011610031128,0.9111716151237488,4.037183225154877,46.285282135009766,14.54663609855861
lid_driven_cavity_local_constrained_vara_seed0_20260603-202906,experiments\logs\lid_driven_cavity_local_constrained_vara_seed0_20260603-202906,lid_driven_cavity,local_constrained_vara,vara,0,ghia,False,smoke,False,False,1,0,0,1,corner_boundary_error,3.0,False,ghia_1982,"direct_uvp:[16, 16]:tanh",direct_uvp,371.0,2.0,2.0,0.0,64.0,64.0,0.0,2.038811445236206,False,,,,,,,,,0.018081603571772575,-0.009054252877831459,0.1979445070028305,0.5585156679153442,1.001949667930603,1.2813165187835693,1.7390450239181519,1.7538557052612305,1.8015495596611224,1.5562765837979857,1.586378276348114,1.066554069519043,1.4679639339447021,0.8834943175315857,0.8908480405807495,0.8176091909408569,0.49263253808021545,0.9545530676841736,0.5114537603852436,0.6257721383263328,1.1194012378482212,4.690787043996552,1.8192423018693924,1.1372258987115764,7.952630197899237,1.066554069519043,1.679571270942688,,,,,,3.126011610031128,0.9111716151237488,4.037183225154877,46.285282135009766,14.54663609855861
lid_driven_cavity_vanilla_pinn_seed0_20260603-202716,experiments\logs\lid_driven_cavity_vanilla_pinn_seed0_20260603-202716,lid_driven_cavity,vanilla_pinn,vanilla,0,ghia,False,smoke,False,False,0,0,0,0,,,False,ghia_1982,"direct_uvp:[16, 16]:tanh",direct_uvp,371.0,2.0,2.0,0.0,64.0,64.0,0.0,0.06508493423461914,False,,,,,,,,,0.018081558868288994,-0.009050289168953896,0.19794417917728424,0.5585187077522278,1.0019487142562866,1.2813414335250854,1.7390776872634888,1.753852367401123,1.8015462226909285,1.55627224656201,1.586375206708908,1.066558837890625,1.4679598808288574,0.8834970593452454,0.8908532857894897,0.8176142573356628,0.49263498187065125,0.9545587301254272,0.5114603195152897,0.6257751153903789,1.1194155935903458,4.690809360064337,1.8192289504289627,1.1372354349056686,7.952626978699347,1.066558837890625,1.6795677840709686,,,,,,3.1259984970092773,0.9111823439598083,4.037180840969086,46.119232177734375,0.43846309185028076
lid_driven_cavity_vanilla_pinn_seed0_20260603-202903,experiments\logs\lid_driven_cavity_vanilla_pinn_seed0_20260603-202903,lid_driven_cavity,vanilla_pinn,vanilla,0,ghia,False,smoke,False,False,0,0,0,0,,,False,ghia_1982,"direct_uvp:[16, 16]:tanh",direct_uvp,371.0,2.0,2.0,0.0,64.0,64.0,0.0,0.08784294128417969,False,,,,,,,,,0.018081558868288994,-0.009050289168953896,0.19794417917728424,0.5585187077522278,1.0019487142562866,1.2813414335250854,1.7390776872634888,1.753852367401123,1.8015462226909285,1.55627224656201,1.586375206708908,1.066558837890625,1.4679598808288574,0.8834970593452454,0.8908532857894897,0.8176142573356628,0.49263498187065125,0.9545587301254272,0.5114603195152897,0.6257751153903789,1.1194155935903458,4.690809360064337,1.8192289504289627,1.1372354349056686,7.952626978699347,1.066558837890625,1.6795677840709686,,,,,,3.1259984970092773,0.9111823439598083,4.037180840969086,46.119232177734375,0.43846309185028076
