benchmark,run_type,method,n_runs,u_rel_l2_mean,u_rel_l2_std,u_rel_l2_valid_n,v_rel_l2_mean,v_rel_l2_std,v_rel_l2_valid_n,p_rel_l2_centered_mean,p_rel_l2_centered_std,p_rel_l2_centered_valid_n,omega_rel_l2_mean,omega_rel_l2_std,omega_rel_l2_valid_n,u_rmse_mean,u_rmse_std,u_rmse_valid_n,v_rmse_mean,v_rmse_std,v_rmse_valid_n,p_rmse_centered_mean,p_rmse_centered_std,p_rmse_centered_valid_n,omega_rmse_mean,omega_rmse_std,omega_rmse_valid_n,u_pred_mean_mean,u_pred_mean_std,u_pred_mean_valid_n,v_pred_mean_mean,v_pred_mean_std,v_pred_mean_valid_n,p_pred_std_centered_mean,p_pred_std_centered_std,p_pred_std_centered_valid_n,speed_pred_mean_mean,speed_pred_mean_std,speed_pred_mean_valid_n,speed_pred_max_mean,speed_pred_max_std,speed_pred_max_valid_n,omega_pred_abs_mean_mean,omega_pred_abs_mean_std,omega_pred_abs_mean_valid_n,omega_pred_abs_max_mean,omega_pred_abs_max_std,omega_pred_abs_max_valid_n,pde_residual_mean_mean,pde_residual_mean_std,pde_residual_mean_valid_n,centerline_pde_residual_mean_mean,centerline_pde_residual_mean_std,centerline_pde_residual_mean_valid_n,centerline_continuity_residual_mean_mean,centerline_continuity_residual_mean_std,centerline_continuity_residual_mean_valid_n,corner_pde_residual_mean_mean,corner_pde_residual_mean_std,corner_pde_residual_mean_valid_n,corner_boundary_error_mean,corner_boundary_error_std,corner_boundary_error_valid_n,continuity_residual_mean_mean,continuity_residual_mean_std,continuity_residual_mean_valid_n,momentum_residual_mean_mean,momentum_residual_mean_std,momentum_residual_mean_valid_n,boundary_condition_error_mean,boundary_condition_error_std,boundary_condition_error_valid_n,u_boundary_rmse_mean,u_boundary_rmse_std,u_boundary_rmse_valid_n,v_boundary_rmse_mean,v_boundary_rmse_std,v_boundary_rmse_valid_n,boundary_speed_rmse_mean,boundary_speed_rmse_std,boundary_speed_rmse_valid_n,u_centerline_rmse_mean,u_centerline_rmse_std,u_centerline_rmse_valid_n,v_centerline_rmse_mean,v_centerline_rmse_std,v_centerline_rmse_valid_n,u_centerline_rel_l2_mean,u_centerline_rel_l2_std,u_centerline_rel_l2_valid_n,v_centerline_rel_l2_mean,v_centerline_rel_l2_std,v_centerline_rel_l2_valid_n,centerline_extrema_error_mean,centerline_extrema_error_std,centerline_extrema_error_valid_n,centerline_profile_score_mean,centerline_profile_score_std,centerline_profile_score_valid_n,cavity_benchmark_score_mean,cavity_benchmark_score_std,cavity_benchmark_score_valid_n,lid_corner_boundary_error_mean,lid_corner_boundary_error_std,lid_corner_boundary_error_valid_n,near_wall_residual_proxy_mean,near_wall_residual_proxy_std,near_wall_residual_proxy_valid_n,full_field_u_rmse_mean,full_field_u_rmse_std,full_field_u_rmse_valid_n,full_field_v_rmse_mean,full_field_v_rmse_std,full_field_v_rmse_valid_n,full_field_p_rmse_centered_mean,full_field_p_rmse_centered_std,full_field_p_rmse_centered_valid_n,full_field_omega_rmse_mean,full_field_omega_rmse_std,full_field_omega_rmse_valid_n,unweighted_data_loss_mean,unweighted_data_loss_std,unweighted_data_loss_valid_n,unweighted_pde_loss_mean,unweighted_pde_loss_std,unweighted_pde_loss_valid_n,unweighted_bc_loss_mean,unweighted_bc_loss_std,unweighted_bc_loss_valid_n,unweighted_validation_loss_mean,unweighted_validation_loss_std,unweighted_validation_loss_valid_n,final_total_loss_mean,final_total_loss_std,final_total_loss_valid_n,J_score_mean,J_score_std,J_score_valid_n
kovasznay,full,vara,1,0.5836337149576508,,1,3.774442730300421,,1,0.8234820081153755,,1,0.9892365315539136,,1,0.7096967693194027,,1,0.3773214198110566,,1,0.2854446622552635,,1,3.9556581915357656,,1,1.254218339920044,,1,-0.2764648199081421,,1,0.2547537088394165,,1,1.307692050933838,,1,1.5730986595153809,,1,0.46755897998809814,,1,1.3111867904663086,,1,0.8184865117073059,,1,,,0,,,0,,,0,,,0,0.4749155044555664,,1,0.5807331204414368,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,16.374751341704656,,1,0.6904769539833069,,1,,,0,17.065228295687962,,1,249.63377380371094,,1,6.787157616911875,,1
kovasznay,unknown,vara,2,0.567347705937862,0.02303189483270186,2,4.142489603204747,0.5204968792514175,2,0.9145178067650184,0.12874406111186099,2,0.997757667808564,0.01205070645816297,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.9261126816272736,0.1522063891670895,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,7.310899857505519,0.7406833798364425,2
lid_driven_cavity,smoke,vanilla,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.018081558868288994,0.0,2,-0.009050289168953896,0.0,2,0.19794417917728424,0.0,2,0.5585187077522278,0.0,2,1.0019487142562866,0.0,2,1.2813414335250854,0.0,2,1.7390776872634888,0.0,2,1.753852367401123,0.0,2,1.8015462226909285,0.0,2,1.55627224656201,0.0,2,1.586375206708908,0.0,2,1.066558837890625,0.0,2,1.4679598808288574,0.0,2,0.8834970593452454,0.0,2,0.8908532857894897,0.0,2,0.8176142573356628,0.0,2,0.49263498187065125,0.0,2,0.9545587301254272,0.0,2,0.5114603195152897,0.0,2,0.6257751153903789,0.0,2,1.1194155935903458,0.0,2,4.690809360064337,0.0,2,1.8192289504289627,0.0,2,1.1372354349056686,0.0,2,7.952626978699347,0.0,2,1.066558837890625,0.0,2,1.6795677840709686,0.0,2,,,0,,,0,,,0,,,0,,,0,3.1259984970092773,0.0,2,0.9111823439598083,0.0,2,4.037180840969086,0.0,2,46.119232177734375,0.0,2,0.43846309185028076,0.0,2
lid_driven_cavity,smoke,vara,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0.018081603571772575,0.0,2,-0.009054252877831459,0.0,2,0.1979445070028305,0.0,2,0.5585156679153442,0.0,2,1.001949667930603,0.0,2,1.2813165187835693,0.0,2,1.7390450239181519,0.0,2,1.7538557052612305,0.0,2,1.8015495596611224,0.0,2,1.5562765837979857,0.0,2,1.586378276348114,0.0,2,1.066554069519043,0.0,2,1.4679639339447021,0.0,2,0.8834943175315857,0.0,2,0.8908480405807495,0.0,2,0.8176091909408569,0.0,2,0.49263253808021545,0.0,2,0.9545530676841736,0.0,2,0.5114537603852436,0.0,2,0.6257721383263328,0.0,2,1.1194012378482212,0.0,2,4.690787043996552,0.0,2,1.8192423018693924,0.0,2,1.1372258987115764,0.0,2,7.952630197899237,0.0,2,1.066554069519043,0.0,2,1.679571270942688,0.0,2,,,0,,,0,,,0,,,0,,,0,3.126011610031128,0.0,2,0.9111716151237488,0.0,2,4.037183225154877,0.0,2,46.285282135009766,0.0,2,14.54663609855861,0.0,2
