benchmark,run_type,method,n_runs,u_centerline_rmse_mean,u_centerline_rmse_std,v_centerline_rmse_mean,v_centerline_rmse_std,centerline_extrema_error_mean,centerline_extrema_error_std,centerline_profile_score_mean,centerline_profile_score_std,pde_residual_mean_mean,centerline_pde_residual_mean_mean,centerline_continuity_residual_mean_mean,corner_pde_residual_mean_mean,corner_boundary_error_mean,lid_corner_boundary_error_mean,near_wall_residual_proxy_mean,continuity_residual_mean_mean,momentum_residual_mean_mean,boundary_condition_error_mean,unweighted_validation_loss_mean,cavity_benchmark_score_mean
lid_driven_cavity,smoke,vanilla,2,0.51146,0,0.625775,0,1.81923,0,1.13724,0,1.75385,1.80155,1.55627,1.58638,1.06656,1.06656,1.67957,1.46796,0.883497,0.890853,4.03718,7.95263
lid_driven_cavity,smoke,vara,2,0.511454,0,0.625772,0,1.81924,0,1.13723,0,1.75386,1.80155,1.55628,1.58638,1.06655,1.06655,1.67957,1.46796,0.883494,0.890848,4.03718,7.95263
